Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Barrio Triana,1776038745-17,Civitatis,1/2/2026,No especificado,No especificado,Viajó con hijos mayores,Guia muy buena,España,Residente,No especificado
Tour La Macarena y Palacio las Dueñas,1775819562-10,Civitatis,15/11/2025,No especificado,No especificado,Viajó con amigos,"El Tour es bastante interesante. Lo negativo fue que la primera parte del Tour fuimos con la lengua fuera, porque nos esperaba una gente en el Palacio. 
Considero que habría que ampliar horario.",España,Residente,Islas Baleares
Tour misterios y leyendas de Sevilla,1776039585-18,Civitatis,29/01/2026,No especificado,No especificado,Viajó con amigos,Muy entretenida,España,Residente,Islas Baleares
Catedral de Sevilla,1776037952-8,Civitatis,26/04/2025,No especificado,No especificado,Viajó con amigos,"La visita espectacular y la guia también, Mari Paz",España,Residente,No especificado
Paseo por el río Guadalquivir en barco ecológico,1775815748-1,Civitatis,27/02/2026,No especificado,No especificado,No especificado,"Puntuales, paseo relajado, personal correcto, instalación correcta.
Quizás esperábamos que recorriese más trayecto hacía la isla de La Cartuja, pero ni siquiera llegamos al puente de Torre Sevilla. 
Es curioso de ver Sevilla desde esa perspectiva. Para hacerlo una vez está bien. 
No hay un guía como tal, es una grabación que va haciendo descripciones en off según te acercas a los puntos clave.",España,Residente,No especificado
Free tour por Sevilla,1775828733-17,Civitatis,31/01/2026,No especificado,No especificado,Viajó con amigos,Juan Diego nuestro guía se ha trabajado mucho el recorrido nos ha enseñado muchas cosas de Sevilla explicando el encanto de la historia de la ciudad. Solo quiero poner una pequeña pega en civitatis sois geniales y os considero los mejores quiero que tengáis la información Juan Diego el guía no ha terminado el recorrido como viene en la descripción del free tour si no que lo ha terminado por el puente de triana y el barco victoria son grandes vistas pero no veo normal que no siga el itinerario,No especificado,No especificado,No aplica
Free tour por Sevilla,1775828743-7,Civitatis,13/01/2026,No especificado,No especificado,Viajó solo,"Pues ha ido bien, me ha sorprendido hacerla yo sola. Ha durado bastante menos tiempo del que ponía. Supongo que no sale rentable hacerlo solo con una participante. En otras ocasiones me han ofrecido con antelación un cambio de horario. Hoy el guia también me ha ofrecido cambiar la hora para no ir sola, pero a 10 minutos de empezar la actividad y ya no era el momento, porque tenía el día organizado.",España,Residente,País Vasco
Museo de Bellas Artes,1775819380-7,Civitatis,20/07/2025,No especificado,No especificado,Viajó solo,"Muy instructiva y completa visita cultural.
Se me pasó el tiempo del recorrido volando,cuando estás disfrutando de los temas que realmente te gustan.
Muy agradable y buena profesional,Carmen.
Tour muy recomendable.",España,Residente,Andalucía
Real Alcázar de Sevilla,1776038189-8,Civitatis,8/11/2025,No especificado,No especificado,Viajó con amigos,"Visita a los Reales Alcázares de Sevilla. Teníamos reserva para un día a una hora concreta desde hacía tiempo y nos llamaron dos días antes para decirnos que no tenían entradas para el día y hora que teníamos reservados, o cambiábamos día y hora o no teníamos entrada. Con el inconveniente de tener que modificar el resto de visitas organizadas.",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775829167-16,Civitatis,9/2/2025,No especificado,No especificado,Viajó con amigos,"La actividad estuvo increíble, nuestro guía Aaron fue muy explicativo y nos contó de una forma muy interactiva la historia de Sevilla, y sus monumentos. Es mi segundo tour con civitatis y de verdad que seguiré repitiendo porque he aprendido mucho y ha sido una actividad muy amena.
Lo recomiendo demasiado",No especificado,No especificado,No aplica
Catedral de Sevilla,1775817908-2,Civitatis,26/12/2025,No especificado,No especificado,Viajó en pareja,Una magnífica experiencia . Preciosa y merece la pena .,No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039717-6,Civitatis,21/03/2025,No especificado,No especificado,Viajó con hijos mayores,"Jose super super guia!!! Nos gustó muchísimo como nos contaba las leyendas, y nos contestaba a las preguntas, recomendable",España,Residente,País Vasco
Barrio Santa Cruz,1776038961-11,Civitatis,8/3/2026,No especificado,No especificado,Viajó con amigos,Genial un 10,España,Residente,Comunidad Valenciana
Tour misterios y leyendas de Sevilla,1776039887-5,Civitatis,11/6/2025,No especificado,No especificado,No especificado,Nos ha encantado. Julián ha sido un guía excepcional. Por el Barrio de Santa Cruz y escuchando las leyendas se nos ha pasado el tiempo rapidísimo. Si volvemos nos gustaría volver a hacer tours con él.,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039627-17,Civitatis,3/1/2026,No especificado,No especificado,Viajó en pareja,Fue muy entretenida y amena,España,Residente,Islas Baleares
Tour misterios y leyendas de Sevilla,1776039671-7,Civitatis,26/10/2025,No especificado,No especificado,Viajó solo,El free tour estuvo genial ! Antonio fue super amable y divertido e hizo que fuese muy ameno.,España,Residente,Extremadura
Barrio Santa Cruz,1776039147-17,Civitatis,4/4/2025,No especificado,No especificado,Viajó con amigos,"La visita genial, ya había estado en varías ocasiones por el barrio de Santa Cruz, pero esta visita guiada me ha servido para conocerlo mucho mejor. 
Me ha gustado mucho la explicación de la guía y todo el recorrido que hemos realizado.",España,Residente,Extremadura
Tour privado por Sevilla,1775826414-5,Civitatis,30/01/2026,No especificado,No especificado,Viajó con amigos,Muy buenas explicaciones de Jesús en el tour desde Plaza España a la catedral pasando por el barrio de Santa Cruz,España,Residente,Cataluña
"Tour por la Catedral, el Alcázar y la Giralda",1775828480-9,Civitatis,7/3/2026,No especificado,No especificado,Viajó en pareja,Guías muy amables dando todo tipo de rxplicaciones,España,Residente,Cataluña
Catedral de Sevilla,1776037902-10,Civitatis,23/12/2025,No especificado,No especificado,Viajó con hijos mayores,La guía muy amable pero algunas explicaciones incompletas porque se quedaba a medias.,España,Residente,País Vasco
Casa de Pilatos,1775826603-16,Civitatis,29/08/2025,No especificado,No especificado,Viajó en pareja,"Exelente, la guia, Nieves un 10 por su conocimiento y amabilidad.",España,Residente,Andalucía
Catedral de Sevilla,1776037931-4,Civitatis,26/07/2025,No especificado,No especificado,Viajó solo,"Todo perfecto, Manuel ha sido un gran guía, nos ha enseñado la catedral explicándonos su historia y la de algunas de las obras de arte que contiene, haciéndolo todo muy ameno e interesante.",España,Residente,Andalucía
Barrio Santa Cruz,1776039168-12,Civitatis,13/01/2026,No especificado,No especificado,Viajó con hijos mayores,Un tour muy bien explicado. Un 10,España,Residente,Castilla y León
Barrio Santa Cruz,1776039188-2,Civitatis,15/03/2025,No especificado,No especificado,Viajó con amigos,"Ha sido muy interesante, Antonio nos ha explicado todo muy bien, y se nos ha pasado el tiempo que no nos hemos enterado, en general excelente, gracias por lo bien explicado todo",España,Residente,Castilla-La Mancha
Tour misterios y leyendas de Sevilla,1776039880-13,Civitatis,17/02/2025,No especificado,No especificado,Viajó con hijos pequeños,Alberto lo hizo muy ameno aportando datos muy curiosos,España,Residente,Comunidad Valenciana
Archivo de Indias,1776038516-20,Civitatis,6/7/2025,No especificado,No especificado,Viajó con hijos pequeños,Transmitía toda la información con tanta pasión que se pasó volando. Totalmente recomendable,España,Residente,Comunidad Valenciana
Free tour por Sevilla,1775829065-8,Civitatis,6/7/2025,No especificado,No especificado,Viajó en pareja,"Fue una actividad entretenida, divertida, amena e interesante. Aarón explicó el recorrido muy bien.",España,Residente,Islas Canarias
Palacio de Las Dueñas,1775826098-5,Civitatis,31/07/2025,No especificado,No especificado,Viajó con hijos pequeños,Es muy interesante la visita especialmente si Emilio es el guía. Ha sido fenomenal.,España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039683-8,Civitatis,20/09/2025,No especificado,No especificado,Viajó con hijos pequeños,"Muy interesante, la recomendare.",España,Residente,No especificado
Parque María Luisa,1775826790-15,Civitatis,25/08/2025,No especificado,No especificado,Viajó con hijos pequeños,Visita excelente sumamente agradable Nieves excepcional,España,Residente,Galicia 
"Tour por la Catedral, el Alcázar y la Giralda",1775828580-20,Civitatis,2/3/2025,No especificado,No especificado,Viajó con amigos,"Nuestra guia Cristina muy bien, buenas explicaciones y muy amable.
En cuanto a la forma de acceder tanto al Alcazar, como a la Catedral, havia un exceso de gente, la entrada deberia estar organizada segun los grupos y la guia, no todos a la vez, ha sido algo caotico.",No especificado,No especificado,No aplica
Casa de Pilatos,1775826603-10,Civitatis,26/12/2025,No especificado,No especificado,Viajó en pareja,Muy entretenida y agradable la visita.,España,Residente,Castilla-La Mancha
Catedral de Sevilla,1776037902-6,Civitatis,25/12/2025,No especificado,No especificado,Viajó en pareja,Visita muy amena y gran profesional Emilio.,España,Residente,Castilla-La Mancha
Museo de Bellas Artes,1775819380-6,Civitatis,12/8/2025,No especificado,No especificado,Viajó en pareja,La experiencia fue estupenda.....,España,Residente,Andalucía
Catedral de Sevilla,1776037890-7,Civitatis,20/03/2026,No especificado,No especificado,Viajó en pareja,"Mejorable, pues no funcionaban los auriculares y el guía no pudo proporcionar otro al haberse ido la persona que se los facilitó.",España,Residente,No especificado
Real Alcázar de Sevilla,1776038161-13,Civitatis,17/12/2025,No especificado,No especificado,Viajó con amigos,Laura estuvo genial. Nos explicó todo de una manera maravillosa haciendo el recorrido ameno e interesante.,España,Residente,Comunidad Valenciana
Casa de Pilatos,1775826608-8,Civitatis,20/03/2025,No especificado,No especificado,Viajó en pareja,"Muy bien explicado, ameno, educado y contesta a todas las proguntas",España,Residente,Cataluña
"Tour por la Catedral, el Alcázar y la Giralda",1775828538-9,Civitatis,9/1/2026,No especificado,No especificado,Viajó solo,"Emilio ha conseguido que sea un tour entretenido, agradable y muy didáctico. Ha sido muy profesional.",España,Residente,Comunidad de Madrid
Archivo de Indias,1776038432-4,Civitatis,10/1/2026,No especificado,No especificado,Viajó solo,"Ha sido un tour muy ameno y didáctico, Rubén es un excelente comunicador y mejor profesor. Muy profesional, de sobresaliente",España,Residente,Comunidad de Madrid
"Tour por la Catedral, el Alcázar y la Giralda",1775828588-9,Civitatis,5/2/2025,No especificado,No especificado,Viajó en pareja,"Álvaro fue maravilloso, recomiendo hacer está excursión al cien por cien se aprende muchísimo, eramos un grupo bastante grande pero íbamos con cascos con lo cual no tenías ningún problema para escucharle. Está excursión se demoró porque quiso profundizar y contarnos tantas historias que a nosotros no nos importó en absoluto. Mil gracias por todo ÁLVARO",No especificado,No especificado,No aplica
Setas de Sevilla,1775818683-2,Civitatis,28/03/2025,No especificado,No especificado,Viajó en pareja,¡Un encanto!,Italia,Extranjero,No aplica
Paseo por el río Guadalquivir en barco con comida,1775815460-1,Civitatis,27/09/2025,No especificado,No especificado,Viajó con amigos,Genial la experiencia. Los encargados muy amables y simpáticos. Totalmente recomendable si quieres ver Sevilla desde otra perspectiva,España,Residente,Andalucía
Barrio Santa Cruz,1776039109-9,Civitatis,6/8/2025,No especificado,No especificado,Viajó con amigos,Fenomenal!!! Hugo se nota que es un apasionado de la Historia y además le encanta transmitirla. Super recomendable.,España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039083-9,Civitatis,19/05/2025,No especificado,No especificado,Viajó solo,Genial el tour con Manuel. Totalmente recomendable este tour en Sevilla.,España,Residente,La Rioja
Tour misterios y leyendas de Sevilla,1776039799-15,Civitatis,2/1/2025,No especificado,No especificado,Viajó con amigos,"Tour muy recomendable. Se conocen cosas muy curiosas de los misterios y leyendas de Sevilla y más si el tour va guiado por la maravillosa Nieves. Te lo hace muy interesante y ameno.
En nuestro caso, insistió en intentar terminar el tour donde correspondía a pesar de que podría ser imposible por la presencia del Heraldo cerca de donde termina la visita y, gracias a su insistencia, no nos dejamos sin ver ni explicar lo mejor de la noche. Gracias Nieves.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828598-1,Civitatis,3/1/2025,No especificado,No especificado,Viajó con amigos,"Visita más que recomendable. Nuestra experiencia ha sido perfecta no sólo por la maravilla de los monumentos que se conocen sino porque ha ido acompañada de la increíble compañía de Carlos, nuestro guía. Sin Carlos no hubiéramos disfrutado ni una pequeña parte del tour y tampoco me habría vuelto a Madrid sabiendo distinguir perfectamente qué arquitectura corresponde al S.XIV y cuál al S. XVI ;)",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039887-4,Civitatis,20/06/2025,No especificado,No especificado,Viajó con hijos mayores,"María Ángeles fue nuestra guía y desde el minuto 1 nos cautivó por sus ganas de transmitir y la manera de hacerlo.
Encantados es poco!!
Y nos hizo ver Sevilla desde otros ojos!!",España,Residente,Cataluña
Tour misterios y leyendas de Sevilla,1776039866-6,Civitatis,20/09/2025,No especificado,No especificado,No especificado,"Me decepcionó bastante, no porque la persona que nos hizo el tour no supiera transmitir o no tuviera conocimientos, sino porque creo que se engaña o confunde las expectivas que uno se crea con la descripción del mismo. Esperaba encontrar un tour enigmático y curioso y fue como los demás, básicamente es historia y principalmente del barrio judío",España,Residente,Cataluña
"Tour por la Catedral, el Alcázar y la Giralda",1775828588-14,Civitatis,23/01/2025,No especificado,No especificado,Viajó con hijos mayores,"Muy bien. Álvaro, el guía, nos dio muy buenas explicaciones durante todo el recorrido y evidentemente, el recorrido muy interesante.
No pongo excelente por una cosa: es tanta la información y tanto para ver, que sería una buena idea hacer un pequeño descanso entre la visita a catedral/ Giralda y el Alcázar.",No especificado,No especificado,No aplica
Setas de Sevilla,1775818578-6,Civitatis,18/10/2025,No especificado,No especificado,Viajó en pareja,Panorama bellísimo y proyección interesante.,Italia,Extranjero,No aplica
Free tour por Sevilla,1775829173-17,Civitatis,1/1/2025,No especificado,No especificado,No especificado,"Hicimos la experiencia con jose, al guua le pongo un10 , nos hizo un tour maravilloso con todo lujo de detalles en la descripcion de lo que nos iba enseñando., si vuelvo otra vez a sevilla , me encantaria hacer otro tour con el, .


Pero no se si volveria a contratar otra vez con civitatis , estuvimos muchas personas esperando en un punto de encuentro que nos dijo civitatis y a la hora indicada alli no aparecio nadie porque los guias no habian sido informados de ese punto por civitatis.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828563-6,Civitatis,16/09/2025,No especificado,No especificado,Viajó solo,"Tour imprescindible para conocer los monumentos de Sevilla al detalle. Nuestro guía José fue increíble, nos facilitó mucha información y detalles y la visita fue muy amena, no me hubiera importado que fuera incluso más larga para aprender más. Muy recomendable.",No especificado,No especificado,No aplica
Free tour por Sevilla,1775829173-11,Civitatis,14/01/2025,No especificado,No especificado,Viajó con amigos,"Totalmente recomendable, Amazon es un gran guía y muy conocedor se la historiade Sevilla, sus explicaciones fueron muy claras y entendibles. Tours que recomiendo a todos los que quieran conocer más de Sevilla, que por cierto que suerte tienen los sevillanos con tener esta ciudad.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828588-2,Civitatis,25/02/2025,No especificado,No especificado,Viajó en pareja,"Por motivos personales no pudimos hacer la visita completa, tuvimos q salir del Alcázar antes y no llegamos a tiempo a la visita de la catedral.
Quiero destacar la profesionalidad y amabilidad de nuestro guía Kevin, ha ido más allá de su tarea para ayudarnos con un acceso más tarde en la catedral, lo q ha resultado imposible, pero lo ha intentado y ha estado en contacto con nosotros para ver si lo conseguíamos. Gracias!",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039786-17,Civitatis,30/11/2025,No especificado,No especificado,Viajó solo,"Uno de los mejores tours que he hecho nunca el de Álvaro. Muy documentado, ameno y participativo. Lo pasamos muy bien. Totalmente recomendable.",España,Residente,Castilla y León
Real Alcázar de Sevilla,1776038173-16,Civitatis,11/2/2026,No especificado,No especificado,Viajó con hijos mayores,Muy agradable y educativo con Ana Fer,España,Residente,Castilla-La Mancha
Free tour por Sevilla,1775828823-3,Civitatis,29/11/2025,No especificado,No especificado,Viajó en pareja,Atención muy buena considerando que había mucha gente para la actividad; pero el reparto en grupos fue adecuado.,España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038269-4,Civitatis,17/03/2025,No especificado,No especificado,Viajó con hijos mayores,"Muy agradable y muy bien explicado por Kevin, el guia. La visita fue amena y dinámica.",España,Residente,Comunidad Valenciana
Museo de Bellas Artes,1775819373-15,Civitatis,20/03/2026,No especificado,No especificado,Viajó solo,"Disfruté mucho con la visita guiada por Museo de Bellas Artes de Sevilla, y decir que la experiencia con la guía Nieves fue maravillosa y en una hora y media aprendí mucho de Arte y su historia, de una manera muy amena. Gracias",España,Residente,Islas Canarias
"Tour por la Catedral, el Alcázar y la Giralda",1775828553-10,Civitatis,10/11/2025,No especificado,No especificado,Viajó en pareja,"La visita combinada ha sido una maravilla, pensábamos que al ser 4 horas resultaría algo pesada, pero cuando la persona que te guía es un gran amante de la historia y arte de su tierra no tengo más que elogios hacia Carlos, por su saber hacer. Nos ha hecho disfrutar, pensar y vivir los momentos históricos de una forma muy amena. Un ole y ole por él. Muchas gracias por hacernos disfrutar de esos momentos.",No especificado,No especificado,No aplica
Archivo de Indias,1776038491-2,Civitatis,29/10/2025,No especificado,No especificado,Viajó en pareja,De las mejores visitas que hemos hecho nunca. Totalmente recomendable.,España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039866-10,Civitatis,12/9/2025,No especificado,No especificado,Viajó solo,"Me hizo rememorar etapas de mi adolescencia, juventud y familiares, conocí nuevos aspectos de mi ciudad. Muchas gracias Mari Angeles",España,Residente,Andalucía
Catedral de Sevilla,1776037917-5,Civitatis,31/10/2025,No especificado,No especificado,Viajó en pareja,Carlos fue muy ameno y demostro en todo momento tener muchisimo conocimiento sobre la catedral y sus entresijos. Muy recomendable.,España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038195-16,Civitatis,11/10/2025,No especificado,No especificado,Viajó en pareja,Viva Hugo !!!!,España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776038989-10,Civitatis,15/02/2025,No especificado,No especificado,No especificado,"Nos ha acompañado Curro en la visita, que ha conseguido mantener todo el rato nuestra atención y nos ha hecho disfrutar y aprender mucho. 
Enhorabuena por el recorrido y fundamentalmente por Curro al que si se puede puntuar solo cabe darle un 10/10",No especificado,No especificado,No aplica
Tour en crucero por río Guadalquivir,1775815243-1,Civitatis,24/01/2026,No especificado,No especificado,Viajó con hijos pequeños,"Paseo en barco por la ría con la explicación de los monumentos que vas viendo. Bien si vas con niños pero no es nada del otro mundo. Pero como mis peques lo pasaron muy bien y eso es lo importante, ya me conformo.",España,Residente,Islas Baleares
Archivo de Indias,1776038548-8,Civitatis,22/03/2025,No especificado,No especificado,Viajó en pareja,Muy interesante. Se nota el interés personal del guia en sus explicaciones. Te contagia su pasión.,España,Residente,Cataluña
Tour La Macarena,1775819738-17,Civitatis,30/08/2025,No especificado,No especificado,Viajó en pareja,"Excelente Free tour. Pilar, nuestra guia nos brindó muchisima información.",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039872-10,Civitatis,15/08/2025,No especificado,No especificado,Viajó con hijos mayores,La guía nos guió con explicaciones muy amenas y divertidas con lo que se nos pasaron las 2h volando. Muy interesantes las historias que esconde cada rincón de la cuidad. Muy recomendable.,España,Residente,Andalucía
Barrio Triana,1776038724-14,Civitatis,21/02/2026,No especificado,No especificado,Viajó con hijos pequeños,"Nos encantó, merece muchísimo la pena. La guía, Laura, es una mujer profesional, que disfruta de lo que hace y lo cuenta con orgullo..",España,Residente,Castilla y León
Free tour por Sevilla,1775828875-20,Civitatis,28/02/2026,No especificado,No especificado,Viajó en pareja,Muy amena toda la visita. Muy bien el guia.,España,Residente,Islas Canarias
Tour misterios y leyendas de Sevilla,1776039574-19,Civitatis,4/4/2025,No especificado,No especificado,Viajó en pareja,Todo estupendo. Visita muy bien organizada por la guia.,España,Residente,Islas Canarias
"Tour por la Catedral, el Alcázar y la Giralda",1775828480-15,Civitatis,1/3/2026,No especificado,No especificado,Viajó en pareja,"La guía fantástica, muy pendientes de todo el grupo, las explicaciones y curiosidades te las contaba de tal manera que se te hace súper ameno y corto . Muchas gracias",España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039711-14,Civitatis,3/3/2026,No especificado,No especificado,Viajó con amigos,Muy amena y nuestro guía Daniel muy profesional,España,Residente,No especificado
Free tour por Sevilla,1775828888-6,Civitatis,5/3/2026,No especificado,No especificado,Viajó en pareja,"Muy puntual, muy bien organizado, las explicaciones fantásticas y buscaba espacios más silenciosos para todas las curiosidades y te esterabas de todo súper bien
Muchas gracias",España,Residente,No especificado
Archivo de Indias,1776038464-5,Civitatis,27/12/2025,No especificado,No especificado,Viajó con hijos mayores,"Irene, la guia, sabia mucho y nos ha contado cantidad de detalles en torno a Sevilla, el archivo y su funcionamiento. Muy agradecidos.",España,Residente,País Vasco
Barrio Santa Cruz,1776039019-18,Civitatis,10/12/2025,No especificado,No especificado,Viajó solo,"La verdad es que merece la pena esta actividad ya que hay muchas cosas que si no te las van explicando no te las podrías imaginar.
He paseado varias veces por el barrio pero Hugo( el guia) a estado genial.
Muchas gracias",España,Residente,Aragón
Barrio Santa Cruz,1776039122-19,Civitatis,21/04/2025,No especificado,No especificado,Viajó con hijos mayores,Genial. Totalmente recomendable,España,Residente,Comunidad Valenciana
Catedral de Sevilla,1775817924-1,Civitatis,23/03/2026,No especificado,No especificado,Viajó en pareja,Sería estupendo que la audioguía incluyera la ubicación de las obras.,No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1776038182-9,Civitatis,19/11/2025,No especificado,No especificado,Viajó con amigos,Una visita muy interesante con el guía Miguel,España,Residente,País Vasco
Tour La Macarena y Palacio las Dueñas,1775819562-13,Civitatis,11/10/2025,No especificado,No especificado,No especificado,"Paco es un gran guía, ha sido muy ameno, se nota que le gusta lo que hace, lo explica con mucha gracia",España,Residente,No especificado
Barrio Santa Cruz,1776039058-15,Civitatis,11/10/2025,No especificado,No especificado,Viajó con amigos,"Nuestro guia fue Miguel. Le hice tres preguntas relacionadas con Sevilla y el entorno del barrio de santa cruz y no supo contestarme. 
Y además, la duración del tour ha sido de una hora y diez y no de una hora y media como se indicaba. 
No volvería a repetir.",España,Residente,Andalucía
Barrio Santa Cruz,1776039168-19,Civitatis,12/3/2025,No especificado,No especificado,Viajó en pareja,Espectacular el trato y las explicaciones de Antonio. En realidad fue la explicación de un amigo que te enseña su casa . La quiere y lo transmite . Gracias,España,Residente,Aragón
Paseo por el río Guadalquivir en barco con comida,1775815510-8,Civitatis,2/3/2025,No especificado,No especificado,Viajó en pareja,"Agradable, se hace corto el paseo. Echo en falta una breve explicación de los monumentos que vas viendo.",España,Residente,Comunidad de Madrid
Barrio Triana,1776038766-14,Civitatis,17/01/2026,No especificado,No especificado,Viajó en pareja,Maravillosa ruta por Triana con Marta que nos explicó todo con detalle y pasión. ¡Que gusto da recorrer una parte de la cuidad con alguien que sabe y transmite!,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039895-20,Civitatis,27/04/2025,No especificado,No especificado,Viajó en pareja,"Merce es un amor. Ha hecho un tour maravilloso, muy interesante y súper bien explicado. Si me dicen que dura dos horas más, yo encantada.",España,Residente,Comunidad de Madrid
Tour en tuk tuk por Sevilla,1775827066-1,Civitatis,11/2/2026,No especificado,No especificado,Viajó con amigos,"Nuestro guía Juan fue fantástico. Una persona súper amable, apasionada de su trabajo y que nos hizo enamorarnos aún más de Sevilla.
No hubiéramos podido encontrar mejor guía para nuestra actividad. 100% recomendable.
Muchísimas gracias Juan.",España,Residente,Comunidad Valenciana
Archivo de Indias,1776038555-2,Civitatis,28/09/2025,No especificado,No especificado,Viajó con hijos mayores,"Genial, Rubén nos ha tenido encandilados durante 2 horas que han pasado volando. Una visita muy interesante y súper completa. Os la recomiendo.",España,Residente,Extremadura
Tour misterios y leyendas de Sevilla,1776039585-5,Civitatis,12/2/2026,No especificado,No especificado,No especificado,Ha sido genial compartir con Antonio este tour. Muchas gracias por todas tus explicaciones,España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039861-17,Civitatis,12/8/2025,No especificado,No especificado,Viajó en pareja,La visita nocturna con Álvaro espectacular. Conoce bien la historia de la ciudad y nos transmitió sus conocimientos para entender el alma de los barrios y calles de Sevilla. Nos dio claves para disfrutar más de la ciudad. Súper recomendable.,España,Residente,No especificado
Barrio Triana,1776038745-4,Civitatis,9/1/2026,No especificado,No especificado,No especificado,Marta ha sido una magnífica guía! Muchas gracias por todo.,España,Residente,No especificado
Tour Estadio Ramón Sánchez Pizjuán,1775818198-10,Civitatis,3/4/2026,No especificado,No especificado,Viajó en pareja,Muy alucinante todo!!,España,Residente,No especificado
Barrio Santa Cruz,1776038983-11,Civitatis,25/09/2025,No especificado,No especificado,Viajó con hijos mayores,"Nos gustó mucho el free tour por el barrio de Santa Cruz con el guía Manuel. 
Fue muy interesante y vimos cosas que de otra manera se nos habrían pasado por alto.",España,Residente,No especificado
"Tour por la Catedral, el Alcázar y la Giralda",1775828434-2,Civitatis,7/3/2025,No especificado,No especificado,Viajó en pareja,"Tuvimos problemas des de el primer momento con el aparato que nos dieron para escuchar a la guía. Por lo que no nos enteramos del 85% de las explicaciones , se nos hizo larga la actividad cansados de intentar escuchar y sentir que perdiamos el tiempo y que hubiese sido mejor ir por libre, cuando al actividad no es nada barata.",España,Residente,No especificado
Tour La Macarena y Palacio las Dueñas,1775819593-12,Civitatis,17/09/2025,No especificado,No especificado,Viajó en pareja,"Emilio molto bravo e coinvolgente
Bello vedere un lato di Siviglia poco pubblicizzato ma estremamente originale
																	Traducir la opinión a español",No especificado,No especificado,No aplica
Free tour por Sevilla,1775829112-1,Civitatis,20/12/2025,No especificado,No especificado,Viajó con amigos,"La actividad con Sesmael ha estado bien, se notaba que al guía le gustaba su trabajo y enseñarnos la ciudad. 
El aspecto negativo es que había mucho ruido de fondo y quizás un micrófono hubiera amenizado el tour, además de un poco menos de historia, que a nosotros por lo menos se nos ha acabado haciendo un poco pesado.",No especificado,No especificado,No aplica
Setas de Sevilla,1775818624-18,Civitatis,11/6/2025,No especificado,No especificado,Viajó en pareja,"No te lo pierdas
																			",No especificado,No especificado,No aplica
Free tour por Sevilla,1775829167-9,Civitatis,19/02/2025,No especificado,No especificado,Viajó en pareja,"Super bien explicado por Jesús, ameno y simpático contando multitud de curiosidades, la duración perfecta de 2 horas y en ningún momento insinúa que haya que pagar algo, aún así todo el grupo colaboró con 10 euros por persona que es un precio creo razonable para todo el tiempo que estuvo con nosotros....muy recomendable este tour por el centro de Sevilla",No especificado,No especificado,No aplica
Free tour por Sevilla,1775828888-2,Civitatis,8/3/2025,No especificado,No especificado,Viajó en pareja,"Aron , me pareció un gran guía y nos ayudó a conocer la ciudad tanto en su pasado como en la actualidad tanto cultural como socialmente",España,Residente,País Vasco
Catedral de Sevilla,1775817898-11,Civitatis,2/1/2026,No especificado,No especificado,Viajó en pareja,"Nos ha parecido todo desastroso y un fraude. Tema audioguia como si fuera un plus: con tu propio móvil y una app que le falta numeración y correlación con la misma catedral. La catedral vende audioguia con un aparato por 2,5euros. Luego venden que no hay q hacer colas... Pues para la giralda buena nos tocó. Y para colmo el ticket que te dan para entrar, marca la mitad que nos cobraron. Cuesta el doble que lo que cuesta en la catedral y sin ningún valor añadido",España,Residente,País Vasco
Archivo de Indias,1776038425-6,Civitatis,24/01/2026,No especificado,No especificado,Viajó en pareja,"Visita interesantísima de la mano de Rubén, historiador y guía que nos mantuvo con la boca abierta de principio a fin. Nos trasmitió su pasión y conocimiento por la ciudad que fue capital del mundo!",España,Residente,Andalucía
Archivo de Indias,1776038484-10,Civitatis,4/11/2025,No especificado,No especificado,Viajó con hijos pequeños,"Ha sido una visita muy interesante gracias al guía. Rubén ha sido maravilloso, sus explicaciones y preguntas nos metían dentro de la visita y nos daba pie a participar. La recomiendo 100% y volveremos a repetir con otra visita seguro.",España,Residente,Andalucía
Archivo de Indias,1776038458-17,Civitatis,2/1/2026,No especificado,No especificado,Viajó con hijos mayores,Muy interesante y amena,España,Residente,Andalucía
